epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.373,0,2555.24,0,0,0,0,0,0,3870.94,0,6e-05,6e-05,6e-05
2,204.158,0,1274.38,0,0,0,0,0,0,1784.46,0,0.000138614,0.000138614,0.000138614
3,294.914,0,190.937,0,0,0,0,0,0,159.548,0,0.000215644,0.000215644,0.000215644
4,385.845,0,35.2277,0,0,0,0,0,0,228.744,0,0.00029109,0.00029109,0.00029109
5,476.53,0,22.0411,0,0,0,0,0,0,204.087,0,0.000364952,0.000364952,0.000364952
6,569.819,0,15.8353,0,0,0,0,0,0,97.9682,0,0.00043723,0.00043723,0.00043723
7,668.406,0,11.2841,0,0,0,0,0,0,37.2537,0,0.000507924,0.000507924,0.000507924
8,758.854,0,7.70548,0,0,0,0,0,0,23.6682,0,0.000577034,0.000577034,0.000577034
9,846.014,0,5.09896,0,0,0,0,0,0,12.0787,0,0.00064456,0.00064456,0.00064456
10,937.428,0,3.46292,0,0,0,0,0,0,9.11853,0,0.000710502,0.000710502,0.000710502
11,1027.49,0,2.47088,0,0,0,0,0,0,5.40521,0,0.00077486,0.00077486,0.00077486
12,1119.5,0,1.63378,0,0,0,0,0,0,2.24255,0,0.000837634,0.000837634,0.000837634
13,1215.15,0,1.20893,0,0,0,0,0,0,1.25313,0,0.000898824,0.000898824,0.000898824
14,1313.13,0,0.71499,0,0,0,0,0,0,1.0454,0,0.00095843,0.00095843,0.00095843
15,1405.8,0,0.52006,0,0,0,0,0,0,0.55429,0,0.00101645,0.00101645,0.00101645
16,1495.07,0,0.3262,0,0,0,0,0,0,0.3343,0,0.00107289,0.00107289,0.00107289
17,1585.88,0,0.22152,0,0,0,0,0,0,0.25053,0,0.00112774,0.00112774,0.00112774
18,1675.93,0,0.15526,0,0,0,0,0,0,0.12714,0,0.00118101,0.00118101,0.00118101
19,1771.75,0,0.10194,0,0,0,0,0,0,0.07714,0,0.0012327,0.0012327,0.0012327
20,1871.76,0,0.05979,0,0,0,0,0,0,0.04433,0,0.0012828,0.0012828,0.0012828
21,1968.24,0,0.03187,0,0,0,0,0,0,0.0345,0,0.00133132,0.00133132,0.00133132
22,2056.31,0,0.02208,0,0,0,0,0,0,0.01758,0,0.00137825,0.00137825,0.00137825
23,2152.63,0,0.01407,0,0,0,0,0,0,0.01081,0,0.0014236,0.0014236,0.0014236
1,125.144,4.09229,787.241,2.29547,0.00013,0.04878,7e-05,3e-05,4.31592,145.15,2.54634,8e-05,8e-05,8e-05
2,237.719,2.94801,77.799,1.90293,0.00013,0.04878,8e-05,1e-05,4.45738,26.1202,2.87482,0.000178218,0.000178218,0.000178218
3,349.748,3.71779,8.83529,2.11121,0,0,0,0,4.57166,13.4536,2.73036,0.000274456,0.000274456,0.000274456
4,460.409,3.43886,7.11852,1.82194,0,0,0,0,4.48791,11.5041,2.63234,0.000368714,0.000368714,0.000368714
5,578.131,3.2919,4.90012,1.84706,0,0,0,0,4.43738,6.37318,2.56223,0.000460992,0.000460992,0.000460992
6,694.25,3.33218,4.889,1.61593,0,0,0,0,4.5363,6.2628,2.83737,0.00055129,0.00055129,0.00055129
7,816.692,2.81561,3.96017,1.42748,0.0002,0.07317,0.00011,4e-05,4.33175,6.54338,2.52673,0.000639608,0.000639608,0.000639608
8,932.95,3.3814,4.28309,1.74541,0,0,0,0,4.29452,6.55861,2.52434,0.000725946,0.000725946,0.000725946
9,1054.04,3.01364,4.42176,1.57758,0,0,0,0,4.21638,5.92667,2.66387,0.000810304,0.000810304,0.000810304
10,1170.67,3.40194,4.27656,1.76905,0,0,0,0,4.25233,5.76153,2.48543,0.000892682,0.000892682,0.000892682
11,1281.98,3.2875,4.66903,1.71047,6e-05,0.02439,4e-05,0,4.45714,9.13455,2.69811,0.00097308,0.00097308,0.00097308
12,1402.03,3.02149,4.18732,1.62854,0,0,0,0,4.19989,6.28276,2.60487,0.0010515,0.0010515,0.0010515
13,1522.31,3.20846,4.41212,1.83496,0,0,0,0,4.52198,6.25547,2.67375,0.00112794,0.00112794,0.00112794
14,1639.46,2.87041,3.61085,1.53686,0,0,0,0,4.24583,5.90572,2.81462,0.00120239,0.00120239,0.00120239
15,1757.01,2.97484,3.66594,1.47842,0.00023,0.07317,0.00013,5e-05,4.18725,6.31302,2.53024,0.00127487,0.00127487,0.00127487
16,1875.27,3.47341,4.41449,1.88654,9e-05,0.02439,5e-05,4e-05,4.15985,6.40135,2.53941,0.00134537,0.00134537,0.00134537
17,1994.34,3.34818,4.45169,1.8035,0.00012,0.02439,7e-05,3e-05,4.2377,6.70472,3.01938,0.00141389,0.00141389,0.00141389
18,2112.99,3.09758,4.04285,1.73443,7e-05,0.02439,4e-05,1e-05,4.41338,6.144,3.25612,0.00148043,0.00148043,0.00148043
19,2231.24,2.45649,3.19619,1.4428,0.00013,0.04878,7e-05,2e-05,4.49909,6.72779,3.84441,0.00154498,0.00154498,0.00154498
20,2350.73,3.40725,4.15663,1.78588,0.00015,0.04878,9e-05,3e-05,4.04384,5.81713,2.74262,0.00160756,0.00160756,0.00160756
21,2466.77,3.26504,3.75687,1.72206,0.00019,0.04878,0.0001,3e-05,4.0769,5.2644,2.65753,0.001604,0.001604,0.001604
22,2588.68,2.81899,3.91927,1.74941,0.00014,0.02439,8e-05,2e-05,4.73251,5.70659,3.51443,0.0015842,0.0015842,0.0015842
23,2703.22,2.9793,3.63397,1.66146,0.00013,0.02439,9e-05,3e-05,4.2006,5.70084,2.98884,0.0015644,0.0015644,0.0015644
24,2824.1,3.29202,3.60722,1.83172,8e-05,0.02439,4e-05,1e-05,5.3121,21.0079,5.56806,0.0015446,0.0015446,0.0015446
25,2951.23,2.91936,3.61633,1.66085,0,0,0,0,5.31805,71.584,16.5635,0.0015248,0.0015248,0.0015248
26,3078.46,2.61996,2.97067,1.53522,0.00157,0.19512,0.00109,0.00037,4.42827,7392.25,11.6389,0.001505,0.001505,0.001505
27,3196.34,2.8891,3.79001,1.6176,0.00026,0.04878,0.00011,3e-05,4.76011,19122.5,26.8236,0.0014852,0.0014852,0.0014852
28,3315.59,3.41286,3.79837,1.72035,0,0,0,0,5.80299,11644.1,108.871,0.0014654,0.0014654,0.0014654
29,3439.21,2.44238,3.39458,1.50522,0,0,0,0,5.9918,12458.4,105.664,0.0014456,0.0014456,0.0014456
30,3557.33,2.45218,2.95832,1.49238,0,0,0,0,6.02396,26170.9,139.309,0.0014258,0.0014258,0.0014258
31,3678.49,2.89823,3.71077,1.6443,0,0,0,0,5.94417,16863.1,201.376,0.001406,0.001406,0.001406
32,3800.44,2.86499,3.92442,1.78458,0.00034,0.04878,0.00015,4e-05,4.20263,4318.27,3.60161,0.0013862,0.0013862,0.0013862
33,3919.24,2.5736,2.92561,1.50283,7e-05,0.02439,4e-05,1e-05,4.14687,6030.64,2.89284,0.0013664,0.0013664,0.0013664
34,4038.73,3.05347,3.65592,1.67324,0.00035,0.12195,0.0002,5e-05,4.17632,6138.72,2.63232,0.0013466,0.0013466,0.0013466
35,4161.78,2.73453,3.39365,1.51324,0.00029,0.09756,0.00016,5e-05,4.23905,5507.87,2.74234,0.0013268,0.0013268,0.0013268
36,4283.32,2.32853,3.08938,1.24906,0,0,0,0,4.08887,374.136,2.36339,0.001307,0.001307,0.001307
37,4403.81,3.24299,3.71327,1.7623,0,0,0,0,3.85669,139.423,2.34074,0.0012872,0.0012872,0.0012872
38,4522.27,2.51295,3.10695,1.53748,0.00018,0.04878,0.0001,4e-05,3.9109,35.565,2.37978,0.0012674,0.0012674,0.0012674
39,4639,2.51242,3.48325,1.45776,0.00019,0.04878,0.00011,5e-05,3.93315,8.93838,2.43036,0.0012476,0.0012476,0.0012476
40,4759.24,2.60919,3.52005,1.50599,0,0,0,0,3.93324,5.88161,2.35511,0.0012278,0.0012278,0.0012278
41,4876.63,1.81306,2.23285,1.03594,0,0,0,0,3.99304,6.36828,2.36067,0.001208,0.001208,0.001208
